epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,511.203,0.51998,0.46499,1.02088,0.39125,0.30507,0.32576,0.14782,2.34655,2.55598,3.41324,0.00085051,0.00085051,0.00085051
153,514.559,0.49971,0.47177,1.00057,0.42592,0.35038,0.35203,0.16103,2.24582,2.6042,3.22499,0.00084952,0.00084952,0.00084952
154,517.922,0.5078,0.47435,1.01449,0.4079,0.24113,0.31682,0.16245,2.21135,2.74374,3.04093,0.00084853,0.00084853,0.00084853
155,521.318,0.51528,0.45743,1.01082,0.36921,0.30805,0.33936,0.14763,2.26288,2.56201,3.13941,0.00084754,0.00084754,0.00084754
156,524.79,0.47674,0.44016,0.9916,0.30153,0.40055,0.36002,0.16888,2.23981,2.69637,3.12914,0.00084655,0.00084655,0.00084655
157,528.251,0.49503,0.4628,1.01447,0.34823,0.39849,0.37323,0.18268,2.27794,2.52614,3.17512,0.00084556,0.00084556,0.00084556
158,531.708,0.4935,0.47397,0.99908,0.3047,0.33996,0.33506,0.16705,2.15639,2.52307,3.00352,0.00084457,0.00084457,0.00084457
159,535.147,0.49365,0.45492,0.99735,0.43845,0.37153,0.3524,0.16627,2.19364,2.46104,3.06554,0.00084358,0.00084358,0.00084358
160,538.607,0.48705,0.44561,1.00343,0.43426,0.35879,0.36099,0.15988,2.28602,2.60199,3.23205,0.00084259,0.00084259,0.00084259
161,542.052,0.49295,0.44922,0.99648,0.44065,0.35331,0.39811,0.18024,2.26667,2.57996,3.1158,0.0008416,0.0008416,0.0008416
162,545.694,0.51229,0.4471,1.00567,0.42385,0.37805,0.39534,0.17063,2.23507,2.57357,3.0651,0.00084061,0.00084061,0.00084061
163,549.57,0.48923,0.43021,0.99748,0.34576,0.49278,0.3997,0.18358,2.23364,2.20291,3.23794,0.00083962,0.00083962,0.00083962
164,553.185,0.50015,0.44068,1.01063,0.41976,0.48145,0.40916,0.17778,2.28406,2.264,3.28669,0.00083863,0.00083863,0.00083863
165,556.607,0.53251,0.47553,1.03123,0.41939,0.35073,0.3437,0.17313,2.21607,2.45122,3.21701,0.00083764,0.00083764,0.00083764
166,560.024,0.48812,0.45792,0.99785,0.36035,0.41809,0.34414,0.15742,2.18743,2.37551,3.09546,0.00083665,0.00083665,0.00083665
167,563.442,0.50039,0.4362,1.00259,0.54153,0.34454,0.4059,0.18774,2.18825,2.48975,3.06822,0.00083566,0.00083566,0.00083566
168,566.867,0.49558,0.43289,1.00814,0.44411,0.40428,0.3903,0.15845,2.26015,2.43924,3.21772,0.00083467,0.00083467,0.00083467
169,570.28,0.50335,0.45811,1.01731,0.32593,0.38752,0.35467,0.1669,2.22218,2.31432,3.1676,0.00083368,0.00083368,0.00083368
170,573.702,0.49985,0.45111,0.99581,0.20916,0.39433,0.26702,0.11636,2.32843,2.84447,3.42634,0.00083269,0.00083269,0.00083269
171,577.121,0.51013,0.44621,1.01191,0.3936,0.34279,0.35678,0.17282,2.13243,2.33732,3.00502,0.0008317,0.0008317,0.0008317
172,580.548,0.47724,0.41416,1.00163,0.50472,0.37796,0.41677,0.18916,2.1836,2.08359,3.05091,0.00083071,0.00083071,0.00083071
173,584.101,0.48244,0.4409,0.99626,0.45604,0.47792,0.40154,0.19296,2.23201,2.14886,3.21711,0.00082972,0.00082972,0.00082972
174,587.818,0.48371,0.43187,1.00543,0.4394,0.39016,0.38356,0.17825,2.21031,2.31154,3.31142,0.00082873,0.00082873,0.00082873
175,591.27,0.47974,0.44306,1.00991,0.35604,0.41648,0.36675,0.18423,2.24943,2.37869,3.26561,0.00082774,0.00082774,0.00082774
